,ISO,Total
0,643,585017876
1,818,353707922
2,380,310147330
3,804,281185183
4,840,256137660
5,300,181124358
6,724,133494075
7,170,133232639
8,376,131486357
9,56,121525946
10,642,105446773
11,12,86902737
12,76,81350328
13,826,75251870
14,156,74118805
15,470,64588889
16,364,60908772
17,250,59607457
18,528,59041327
19,100,54915474
20,422,52453106
21,434,52096876
22,784,48951832
23,682,46590647
24,710,43136363
25,124,40969754
26,702,36533711
27,268,36486877
28,578,36233617
29,368,34467415
30,760,33520395
31,356,29685015
32,566,28180102
33,36,27655523
34,276,26142334
35,504,24095306
36,410,20247915
37,458,19142270
38,788,18565541
39,620,17475494
40,32,14802863
41,634,14740487
42,191,12519504
43,246,11976447
44,428,11633780
45,752,11479965
46,288,11052317
47,887,10696934
48,440,9968581
49,208,8362300
50,508,8277480
51,233,7426844
52,616,7229706
53,360,6232937
54,8,5464439
55,705,4873263
56,400,4813276
57,292,4756270
58,392,4722960
59,858,4635631
60,414,4321111
61,324,3912693
62,226,3490861
63,686,3378260
64,862,3378174
65,120,3340138
66,478,3281755
67,218,3057120
68,729,2923709
69,430,2775951
70,484,2656998
71,795,2553455
72,158,2509648
73,604,2484841
74,694,2444974
75,512,2382708
76,498,2282232
77,244,2275507
78,344,2215890
79,764,2149834
80,591,2127249
81,630,2104252
82,178,1942692
83,780,1888274
84,332,1852366
85,204,1659689
86,144,1553597
87,372,1507751
88,48,1276959
89,262,1254959
90,50,1186317
91,404,1130070
92,586,1007494
93,44,899971
94,266,879548
95,533,809444
96,152,762711
97,352,681255
98,398,672492
99,388,645013
100,499,592102
101,320,521636
102,214,521402
103,662,420492
104,270,415688
105,231,387294
106,834,377010
107,31,371020
108,516,355975
109,232,355064
110,340,300592
111,192,268317
112,608,252800
113,52,189905
114,104,161054
115,740,160299
116,706,159797
117,408,154299
118,68,148160
119,188,119887
120,328,116339
121,222,100292
122,450,81629
123,690,74460
124,756,70431
125,624,55449
126,703,51435
127,10,36377
128,600,32404
129,312,29637
130,558,29487
131,480,22839
132,242,20994
133,180,20688
134,860,18390
135,800,17910
136,659,15291
137,638,14265
138,90,7022
139,40,4898
140,348,4290
141,554,2042
142,798,1395
143,116,326
144,462,13
145,792,0
146,492,0
147,28,0
148,60,0
